Classification,Pitch0,Roll0,Pitch1,Roll1,Pitch2,Roll2,Pitch3,Roll3,Pitch4,Roll4
A,-912,-399,-912,-570,-912,-570,-1083,-171,1026,0
A,-855,-456,-855,-627,-912,-627,-1083,-228,1026,0
A,-855,-570,-855,-684,-912,-684,-1083,-285,1026,0
A,-855,-570,-855,-741,-912,-684,-1140,-342,1026,0
A,-855,-570,-855,-684,-912,-684,-1083,-285,1026,0
A,-855,-570,-855,-684,-912,-684,-1083,-285,1026,0
A,-855,-513,-855,-684,-912,-684,-1083,-285,1026,0
A,-912,-513,-855,-684,-912,-684,-1140,-285,1026,0
A,-912,-513,-912,-684,-912,-684,-1140,-285,1026,0
A,-855,-456,-855,-570,-912,-570,-1083,-171,1026,0
A,-855,-342,-912,-456,-969,-513,-1083,-57,1026,57
A,-855,-285,-912,-399,-969,-456,-1083,0,1026,57
A,-798,-342,-855,-456,-912,-513,-1083,-57,1026,114
A,-855,-399,-912,-513,-969,-570,-1083,-114,1026,114
A,-855,-342,-912,-456,-969,-513,-1083,-114,1026,114
A,-855,-342,-912,-456,-969,-456,-1083,-57,1026,57
A,-855,-342,-912,-456,-969,-456,-1140,-57,1026,57
A,-912,-342,-969,-399,-1026,-456,-1140,-57,1026,57
A,-912,-285,-969,-399,-1026,-456,-1083,0,1026,114
A,-912,-285,-969,-399,-1026,-399,-1140,0,1026,57
A,-969,-285,-1026,-342,-1026,-342,-1140,0,1026,0
A,-969,-228,-1026,-285,-1026,-285,-1140,0,1083,0
A,-969,-171,-1026,-285,-1026,-285,-1083,0,1026,0
A,-969,-171,-1026,-228,-1083,-228,-1083,57,1083,0
A,-969,-228,-1026,-285,-1026,-285,-1140,0,1026,0
A,-912,-342,-969,-399,-1026,-399,-1140,-57,1026,57
A,-912,-342,-969,-399,-1026,-456,-1140,-114,1026,57
A,-912,-342,-969,-399,-1026,-399,-1140,-57,969,114
A,-969,-342,-969,-399,-1026,-399,-1140,-57,969,114
A,-969,-342,-969,-399,-1026,-399,-1140,-57,1026,57
A,-969,-342,-1026,-342,-1083,-342,-1140,0,1026,0
A,-969,-285,-1026,-285,-1026,-285,-1140,0,1026,0
A,-1026,-114,-1026,-285,-1083,-285,-1140,0,1083,0
A,-1026,-114,-1026,-285,-1083,-285,-1140,0,1083,0
A,-1026,-114,-1026,-285,-1083,-342,-1140,0,1083,0
A,-1026,-114,-1026,-342,-1083,-342,-1140,0,1083,-57
A,-1026,-114,-1026,-342,-1083,-342,-1140,0,1083,-57
A,-1026,-114,-1026,-342,-1083,-342,-1140,0,1083,-57
A,-1026,-114,-1026,-342,-1026,-342,-1140,0,1083,-57
A,-1026,-171,-1026,-342,-1026,-342,-1140,0,1083,-57
A,-1026,-171,-1026,-342,-1026,-342,-1140,0,1083,-57
A,-1026,-171,-1026,-399,-1026,-399,-1140,-57,1083,-57
A,-1026,-171,-1026,-399,-1026,-399,-1140,0,1083,-114
A,-1026,-171,-1026,-342,-1026,-342,-1140,0,1083,-114
A,-1026,-114,-1026,-342,-1083,-342,-1140,0,1083,-114
A,-1026,-114,-1026,-342,-1083,-342,-1140,0,1083,-114
A,-1026,-114,-1026,-285,-1083,-285,-1140,0,1083,-57
A,-1026,-57,-1026,-285,-1083,-285,-1140,0,1140,-57
A,-1026,-57,-1026,-285,-1083,-285,-1140,57,1083,-57
A,-1026,-57,-1026,-285,-1083,-285,-1140,57,1083,0
A,-969,-57,-1026,-285,-1083,-285,-1140,57,1140,0
A,-969,-57,-1026,-285,-1083,-285,-1140,57,1140,0
A,-969,-57,-1026,-285,-1083,-285,-1140,57,1140,0
A,-969,-114,-1026,-285,-1083,-285,-1140,57,1083,0
A,-969,-114,-1026,-285,-1083,-342,-1140,0,1083,0
A,-969,-114,-969,-285,-1026,-342,-1140,0,1083,57
A,-912,-171,-969,-285,-1026,-342,-1140,0,1083,57
A,-912,-114,-969,-285,-1026,-342,-1140,0,1083,57
A,-912,-171,-969,-285,-1026,-342,-1140,0,1083,114
A,-912,-171,-969,-342,-1026,-342,-1083,0,1083,114
A,-855,-171,-912,-342,-1026,-399,-1083,0,1083,171
A,-855,-171,-912,-342,-969,-399,-1083,0,1026,171
A,-855,-228,-912,-342,-969,-399,-1083,0,1026,171
A,-798,-228,-855,-342,-969,-399,-1083,0,1026,228
A,-798,-228,-855,-342,-969,-399,-1083,0,1026,228
A,-798,-228,-855,-399,-969,-456,-1083,0,1026,285
A,-798,-228,-855,-399,-969,-456,-1083,0,1026,285
A,-912,-342,-912,-513,-969,-513,-1083,-114,1026,57
A,-912,-342,-912,-513,-969,-513,-1140,-114,1026,57
A,-912,-342,-912,-513,-969,-513,-1140,-114,1026,57
A,-912,-342,-912,-513,-969,-513,-1140,-114,1026,57
A,-969,-342,-912,-513,-969,-513,-1140,-114,1026,0
